{'ip': '37.209.192.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '209.59.119.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.221.4', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.6', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.6', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.127.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.5', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.22', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.65.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.12', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '213.154.241.83', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.199', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.21', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.20', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.18', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.171.17.14', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.0.28.2', 'other': 'REFUSED', 'type': '4'}
{'ip': '185.24.64.49', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.18', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.133.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.217.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '72.42.114.12', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.115.157.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.195', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.101.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '37.209.198.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.10', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.10', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.131.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.9', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '199.115.156.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.9', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.171.17.13', 'other': 'REFUSED', 'type': '4'}
{'ip': '81.91.173.130', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.11', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.11', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.5', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.12', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.17', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '89.207.190.23', 'other': 'REFUSED', 'type': '4'}
{'ip': '199.4.137.1', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '70.40.0.12', 'other': 'REFUSED', 'type': '4'}
{'ip': '212.18.249.49', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.2', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.9', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '79.98.121.73', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.144.12', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '195.66.241.82', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.63.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '195.130.35.5', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.67.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.17', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.12', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.14', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '203.119.56.132', 'other': 'REFUSED', 'type': '4'}
{'ip': '212.18.248.56', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.18', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '213.42.0.226', 'other': 'NOERROR', 'type': '4'}
{'ip': '193.176.144.13', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.14', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.17', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.21', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.219.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '185.24.64.71', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.19', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.16', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '197.149.149.11', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '195.229.0.186', 'other': 'NOERROR', 'type': '4'}
{'ip': '103.49.81.4', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.102.3', 'other': 'REFUSED', 'type': '4'}
{'ip': '201.229.0.26', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.103.3', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.18', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.1.149.230', 'other': 'REFUSED', 'type': '4'}
{'ip': '195.130.35.3', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '193.176.144.14', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.21', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '192.189.54.17', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '200.108.148.50', 'other': 'NOERROR', 'type': '4'}
{'ip': '200.108.145.50', 'other': 'REFUSED', 'type': '4'}
{'ip': '78.104.145.4', 'other': 'REFUSED', 'type': '4'}
{'ip': '185.21.168.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '185.21.169.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '185.21.170.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '200.219.159.10', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.146.106.10', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.221.15', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.221.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '43.230.49.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.63.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.95.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '204.61.216.48', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.125.65', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.170.100', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.67.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.217.15', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.0.43.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.24', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.169.100', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.30', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '213.248.221.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.35', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.25', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.0.25.16', 'other': 'REFUSED', 'type': '4'}
{'ip': '194.0.24.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '103.49.81.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.128.65', 'other': 'REFUSED', 'type': '4'}
{'ip': '200.7.4.7', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.159.34', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.36', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.36', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.39', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.204', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.30', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.239.41', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.41', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.40', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.35', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '192.228.28.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.68.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.40', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.32', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.38.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.31', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.64.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.41', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.173.100', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.31', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.174.100', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.44', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '43.230.49.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.221.38', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.28', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.70.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.144.43', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.41', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.25', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.61.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '209.173.58.66', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.27', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '213.248.221.18', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.217.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.221.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.204', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '132.207.144.2', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.158.32', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.106.192.121', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '194.0.25.14', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.29', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '147.28.0.39', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.158.37', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.93.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.27', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.28.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.28', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '206.48.3.168', 'other': 'NOERROR', 'type': '4'}
{'ip': '103.49.81.38', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.37', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.35', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.219.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.236.41', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.39', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.39', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.37.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.92.25', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.213', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.172.100', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.69.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.36', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.40', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.157.44', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.34', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.105.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.53.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.190.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.213', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.71.33', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.126.65', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.34', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.65.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.27', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '200.229.248.10', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.157.36', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.69.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.171.100', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.25', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.65.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.29.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.39.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.52.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.45', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.237.41', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.24', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.55.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '130.59.31.41', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.40', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.28', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.31', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '200.219.154.10', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.76.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.35', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.32', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.44', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.30', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.209.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '200.16.112.16', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.221.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.158.45', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '199.4.144.2', 'other': 'REFUSED', 'type': '4'}
{'ip': '213.248.217.18', 'other': 'REFUSED', 'type': '4'}
{'ip': '204.61.216.110', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '204.61.216.66', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.145.44', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '200.1.121.10', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '204.61.216.61', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.156.25', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.158.43', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '213.248.217.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.124.65', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.30', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '103.49.81.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.156.41', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.0.26.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.157.31', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '65.22.67.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '130.59.31.29', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.107.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '192.92.129.99', 'other': 'REFUSED', 'type': '4'}
{'ip': '204.61.216.68', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.225.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '72.42.114.16', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.31.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '103.49.81.18', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.29', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.29', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '204.61.216.70', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '193.188.97.193', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.156.204', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '200.160.0.5', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.32', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.34', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '198.182.167.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '65.22.71.9', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.145.36', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.35', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '204.61.216.17', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '65.22.227.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.204', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.37', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.37', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '196.2.12.205', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '185.21.171.17', 'other': 'REFUSED', 'type': '4'}
{'ip': '196.2.8.205', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.156.39', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.31', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.41', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.31', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '194.0.37.1', 'other': 'REFUSED', 'type': '4'}
{'ip': '156.154.159.44', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.29', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '200.160.0.10', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.145.30', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.45', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.145.37', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.156.40', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.43', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.159.213', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '156.154.144.213', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '200.189.41.10', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.145.39', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '206.82.130.196', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '156.154.144.29', 'other': 'SERVFAIL', 'type': '4'}
